,FIPS,year,state,state_po,county,candidatevotes,candidate,party,totalvotes,state_po
796,8017.0,2008,Colorado,CO,Cheyenne,890.0,John McCain,republican,1111,CO
798,8019.0,2008,Colorado,CO,Clear Creek,3332.0,Barack Obama,democrat,5767,CO
801,8021.0,2008,Colorado,CO,Conejos,2154.0,Barack Obama,democrat,3874,CO
804,8023.0,2008,Colorado,CO,Costilla,1245.0,Barack Obama,democrat,1697,CO
808,8025.0,2008,Colorado,CO,Crowley,976.0,John McCain,republican,1558,CO
811,8027.0,2008,Colorado,CO,Custer,1672.0,John McCain,republican,2629,CO
814,8029.0,2008,Colorado,CO,Delta,10067.0,John McCain,republican,15434,CO
816,8031.0,2008,Colorado,CO,Denver,204882.0,Barack Obama,democrat,271533,CO
820,8033.0,2008,Colorado,CO,Dolores,818.0,John McCain,republican,1217,CO
823,8035.0,2008,Colorado,CO,Douglas,88108.0,John McCain,republican,151819,CO
825,8037.0,2008,Colorado,CO,Eagle,13187.0,Barack Obama,democrat,21652,CO
829,8039.0,2008,Colorado,CO,Elbert,9108.0,John McCain,republican,13206,CO
832,8041.0,2008,Colorado,CO,El Paso,160318.0,John McCain,republican,273175,CO
835,8043.0,2008,Colorado,CO,Fremont,12668.0,John McCain,republican,19919,CO
838,8045.0,2008,Colorado,CO,Garfield,11359.0,John McCain,republican,23082,CO
840,8047.0,2008,Colorado,CO,Gilpin,1954.0,Barack Obama,democrat,3301,CO
844,8049.0,2008,Colorado,CO,Grand,4128.0,John McCain,republican,8308,CO
846,8051.0,2008,Colorado,CO,Gunnison,5556.0,Barack Obama,democrat,8870,CO
850,8053.0,2008,Colorado,CO,Hinsdale,344.0,John McCain,republican,599,CO
852,8055.0,2008,Colorado,CO,Huerfano,1989.0,Barack Obama,democrat,3643,CO
856,8057.0,2008,Colorado,CO,Jackson,624.0,John McCain,republican,913,CO
858,8059.0,2008,Colorado,CO,Jefferson,158153.0,Barack Obama,democrat,295062,CO
862,8061.0,2008,Colorado,CO,Kiowa,650.0,John McCain,republican,852,CO
865,8063.0,2008,Colorado,CO,Kit Carson,2455.0,John McCain,republican,3442,CO
